"id","category","evidence_path","evidence_line","issue_number","issue_url","title"
"FCP-001","test-coverage-audit","claw-fleet-desktop/src/gui/mod.rs","1","3","https://github.com/hoveychen/claw-fleet/issues/3","[Pilot backlog] Audit focused test coverage for claw-fleet-desktop/src/gui/mod.rs"
"FCP-002","test-coverage-audit","fleet-cloud-runner/src/supervisor.rs","1","4","https://github.com/hoveychen/claw-fleet/issues/4","[Pilot backlog] Audit focused test coverage for fleet-cloud-runner/src/supervisor.rs"
"FCP-003","test-coverage-audit","claw-fleet-core/src/hooks_server/mod.rs","1","5","https://github.com/hoveychen/claw-fleet/issues/5","[Pilot backlog] Audit focused test coverage for claw-fleet-core/src/hooks_server/mod.rs"
"FCP-004","test-coverage-audit","claw-fleet-core/src/proc_runner.rs","1","6","https://github.com/hoveychen/claw-fleet/issues/6","[Pilot backlog] Audit focused test coverage for claw-fleet-core/src/proc_runner.rs"
"FCP-005","test-coverage-audit","fleet-cloud-control-plane/src/services/artifacts.rs","1","7","https://github.com/hoveychen/claw-fleet/issues/7","[Pilot backlog] Audit focused test coverage for fleet-cloud-control-plane/src/services/artifacts.rs"
"FCP-006","test-coverage-audit","fleet-cloud-control-plane/src/services/tasks.rs","1","8","https://github.com/hoveychen/claw-fleet/issues/8","[Pilot backlog] Audit focused test coverage for fleet-cloud-control-plane/src/services/tasks.rs"
"FCP-007","test-coverage-audit","fleet-cli/src/main.rs","1","9","https://github.com/hoveychen/claw-fleet/issues/9","[Pilot backlog] Audit focused test coverage for fleet-cli/src/main.rs"
"FCP-008","test-coverage-audit","claw-fleet-desktop/src/lib.rs","1","10","https://github.com/hoveychen/claw-fleet/issues/10","[Pilot backlog] Audit focused test coverage for claw-fleet-desktop/src/lib.rs"
"FCP-009","test-coverage-audit","claw-fleet-core/src/session/detect.rs","1","11","https://github.com/hoveychen/claw-fleet/issues/11","[Pilot backlog] Audit focused test coverage for claw-fleet-core/src/session/detect.rs"
"FCP-010","test-coverage-audit","fleet-cloud-control-plane/src/services/webhooks.rs","1","12","https://github.com/hoveychen/claw-fleet/issues/12","[Pilot backlog] Audit focused test coverage for fleet-cloud-control-plane/src/services/webhooks.rs"
"FCP-011","test-coverage-audit","claw-fleet-core/src/hooks_server/routes_core.rs","1","13","https://github.com/hoveychen/claw-fleet/issues/13","[Pilot backlog] Audit focused test coverage for claw-fleet-core/src/hooks_server/routes_core.rs"
"FCP-012","test-coverage-audit","claw-fleet-core/src/hooks_server/routes_skills.rs","1","14","https://github.com/hoveychen/claw-fleet/issues/14","[Pilot backlog] Audit focused test coverage for claw-fleet-core/src/hooks_server/routes_skills.rs"
"FCP-013","test-coverage-audit","fleet-cloud-control-plane/src/runner_gateway/registry.rs","1","15","https://github.com/hoveychen/claw-fleet/issues/15","[Pilot backlog] Audit focused test coverage for fleet-cloud-control-plane/src/runner_gateway/registry.rs"
"FCP-014","test-coverage-audit","fleet-cli/src/commands/agents.rs","1","16","https://github.com/hoveychen/claw-fleet/issues/16","[Pilot backlog] Audit focused test coverage for fleet-cli/src/commands/agents.rs"
"FCP-015","test-coverage-audit","fleet-cloud-runner/src/redaction.rs","1","17","https://github.com/hoveychen/claw-fleet/issues/17","[Pilot backlog] Audit focused test coverage for fleet-cloud-runner/src/redaction.rs"
